is_rooted,log_contact_count,wifi_networks_count,has_biometric,sdk_version_norm,is_call_active,hour_of_day_norm,day_of_week_norm,is_emulator,is_usb_debugging,is_developer_options,is_vpn_active,label
1.0,5.081404364984463,4.0,1.0,0.9705882352941176,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
0.0,5.459585514144159,4.0,1.0,0.8823529411764706,0.0,0.2608695652173913,1.0,0.0,0.0,0.0,0.0,0
1.0,2.4849066497880004,43.0,1.0,0.6176470588235294,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1
0.0,3.784189633918261,11.0,1.0,0.8823529411764706,0.0,0.5652173913043478,1.0,0.0,0.0,0.0,0.0,0
0.0,4.04305126783455,10.0,1.0,0.9411764705882353,0.0,0.4782608695652174,0.5,0.0,0.0,0.0,0.0,0
0.0,3.6109179126442243,6.0,1.0,0.8235294117647058,0.0,0.6956521739130435,0.16666666666666666,0.0,0.0,0.0,0.0,0
0.0,5.480638923341991,10.0,1.0,0.8529411764705882,0.0,0.43478260869565216,0.6666666666666666,0.0,0.0,0.0,0.0,0
0.0,5.560681631015528,9.0,1.0,0.9411764705882353,0.0,0.2608695652173913,0.8333333333333334,0.0,0.0,0.0,0.0,0
0.0,5.043425116919247,9.0,1.0,0.9411764705882353,0.0,0.6521739130434783,1.0,0.0,0.0,0.0,0.0,0
1.0,5.225746673713202,8.0,1.0,0.8823529411764706,0.0,0.6521739130434783,0.16666666666666666,0.0,0.0,0.0,1.0,0
0.0,4.454347296253507,11.0,1.0,0.9411764705882353,0.0,0.9565217391304348,1.0,0.0,0.0,0.0,0.0,0
0.0,5.356586274672012,8.0,0.0,0.9117647058823529,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0
0.0,5.247024072160486,2.0,1.0,0.8823529411764706,0.0,0.5217391304347826,0.6666666666666666,0.0,0.0,0.0,0.0,0
0.0,5.484796933490655,6.0,1.0,0.9117647058823529,0.0,0.30434782608695654,0.8333333333333334,0.0,0.0,1.0,0.0,0
